contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,2.0,2.0,1590.0,0.0,184900,"103 Park Street, Cambria, WI",53923,https://www.homesnap.com/WI/Cambria/103-Park-Street,100783811,43.5948,-89.068249,1995.0,103 Park Street,"Cambria, WI",2021-02-15,184900,1,1
No,,,0.0,,0.0,195000,"36+/- AC Mcmahon Road, Portage, WI",53901,https://www.homesnap.com/WI/Portage/36---AC-Mcmahon-Road,100783066,43.576996,-89.474421,,36+/- AC Mcmahon Road,"Portage, WI",2021-02-15,195000,8,32
No,,2.0,1.5,1634.0,0.0,114900,"515 W Florence Street, Cambria, WI",53923,https://www.homesnap.com/WI/Cambria/515-W-Florence-Street,100794177,43.542753,-89.114174,,515 W Florence Street,"Cambria, WI",2021-02-14,114900,1,1
No,2.0,8.0,6.0,4302.0,2750.0,399900,"103 Deer Run Drive, Fall River, WI",53932,https://www.homesnap.com/WI/Fall-River/103-Deer-Run-Drive,100789537,43.37902,-89.044056,2009.0,103 Deer Run Drive,"Fall River, WI",2021-02-14,399900,1,16
No,,,0.0,,0.0,199900,"Lt27 Wynding Way, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/Lt27-Wynding-Way,100783812,43.358104,-89.68993,,Lt27 Wynding Way,"Merrimac, WI",2021-02-14,199900,8,32
No,,3.0,1.5,1564.0,0.0,194900,"813 Vine Street, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/813-Vine-Street,100780577,43.628262,-89.764973,,813 Vine Street,"Wisconsin Dells, WI",2021-02-13,194900,1,1
No,,,0.0,,0.0,59900,"LOT 37 Sunset Drive, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/LOT-37-Sunset-Drive,100783813,43.31582,-89.551661,,LOT 37 Sunset Drive,"Lodi, WI",2021-02-13,59900,8,32
No,,3.0,2.0,1507.0,0.0,220000,"194 Valley Drive, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/194-Valley-Drive,100756405,43.309944,-89.54463,2008.0,194 Valley Drive,"Lodi, WI",2021-02-12,220000,4,4
No,,3.0,2.0,1255.0,0.0,185000,"1818 Birch Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/1818-Birch-Street,100778958,43.483005,-89.745576,1994.0,1818 Birch Street,"Baraboo, WI",2021-02-12,185000,1,1
No,,1.0,1.0,688.0,0.0,184900,"530 E Hiawatha Drive #203, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/530-E-Hiawatha-Drive/property/18163630,100763512,43.599605,-89.785051,1991.0,530 E Hiawatha Drive #203,"Wisconsin Dells, WI",2021-02-12,184900,4,4
No,,,0.0,,0.0,45000,"0 Riverview Drive #1902196, Fall River, WI",53932,https://www.homesnap.com/WI/Fall-River/0-Riverview-Drive/property/18159055,100757574,43.40498,-89.036689,,0 Riverview Drive #1902196,"Fall River, WI",2021-02-12,45000,8,32
No,,4.0,3.5,5136.0,0.0,875000,"7914 Bowman Road, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/7914-Bowman-Road,100746089,43.29066,-89.606351,2018.0,7914 Bowman Road,"Lodi, WI",2021-02-12,875000,1,1
No,2.0,6.0,4.0,3156.0,1775.0,240000,"223/225 7th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/223-225-7th-Street,100783880,43.474024,-89.739459,1894.0,223/225 7th Street,"Baraboo, WI",2021-02-12,240000,1,16
Yes,,4.0,2.0,1797.0,0.0,254000,"1423 Jefferson Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/1423-Jefferson-Street,100759386,43.479407,-89.728794,1971.0,1423 Jefferson Street,"Baraboo, WI",2021-02-11,254000,1,1
Yes,,3.0,1.5,1680.0,0.0,200000,"526 E North Street, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/526-E-North-Street,100748443,43.395239,-89.396132,,526 E North Street,"Poynette, WI",2021-02-11,200000,1,1
No,,,0.0,,0.0,42000,"L163 Pleasant View Drive, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/L163-Pleasant-View-Drive,100721873,43.63255,-89.75104,,L163 Pleasant View Drive,"Wisconsin Dells, WI",2021-02-11,42000,8,32
No,,,0.0,,0.0,38000,"L23 Deer Run Ridge, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/L23-Deer-Run-Ridge,100721869,43.640522,-89.777437,,L23 Deer Run Ridge,"Wisconsin Dells, WI",2021-02-11,38000,8,32
No,,,0.0,,0.0,34000,"L30 Deer Run Ridge, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/L30-Deer-Run-Ridge,100721872,43.640522,-89.777437,,L30 Deer Run Ridge,"Wisconsin Dells, WI",2021-02-11,34000,8,32
No,,,0.0,,0.0,30500,"L21 Deer Run Ridge, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/L21-Deer-Run-Ridge,100721870,43.640522,-89.777437,,L21 Deer Run Ridge,"Wisconsin Dells, WI",2021-02-11,30500,8,32
No,1.0,,0.0,,0.0,169900,"301 Linn Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/301-Linn-Street,100754800,43.474657,-89.76399,1993.0,301 Linn Street,"Baraboo, WI",2021-02-11,169900,8,128
No,,3.0,1.5,1608.0,0.0,179900,"127 N Birdsey Street, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/127-N-Birdsey-Street,100699549,43.34162,-89.018678,1900.0,127 N Birdsey Street,"Columbus, WI",2021-02-10,179900,1,1
Yes,,3.0,1.0,1440.0,0.0,189900,"315 S Main Street, Poynette, WI",53955,https://www.homesnap.com/WI/Poynette/315-S-Main-Street,100712068,43.387806,-89.402477,,315 S Main Street,"Poynette, WI",2021-02-10,189900,1,1
Yes,,3.0,1.0,1196.0,0.0,125000,"522 S Center Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/522-S-Center-Street,100720188,43.461505,-89.735831,1901.0,522 S Center Street,"Baraboo, WI",2021-02-10,125000,1,1
