contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,5.0,4.5,3768.0,0.0,950000,"3007 Gannon Street, Madison, WI",53711,https://www.homesnap.com/WI/Madison/3007-Gannon-Street,100784674,43.009536,-89.336025,2005.0,3007 Gannon Street,"Madison, WI",2021-02-15,950000,1,1
No,,4.0,3.0,3675.0,0.0,950000,"3675 Red Hawk Lane, Mount Horeb, WI",53572,https://www.homesnap.com/WI/Mount-Horeb/3675-Red-Hawk-Lane,100787800,43.056363,-89.68755,2007.0,3675 Red Hawk Lane,"Mount Horeb, WI",2021-02-15,950000,1,1
No,,3.0,2.0,1450.0,0.0,339900,"4811 Gordon Avenue, Monona, WI",53716,https://www.homesnap.com/WI/Monona/4811-Gordon-Avenue,100790748,43.067112,-89.327584,1955.0,4811 Gordon Avenue,"Monona, WI",2021-02-15,339900,1,1
No,,3.0,3.0,1848.0,0.0,550000,"4538 Stonewood Drive, Middleton, WI",53562,https://www.homesnap.com/WI/Middleton/4538-Stonewood-Drive,100790211,43.104423,-89.551789,2016.0,4538 Stonewood Drive,"Middleton, WI",2021-02-15,550000,1,1
No,,2.0,2.0,1491.0,0.0,309900,"9213 Crosswinds Lane #201, Verona, WI",53593,https://www.homesnap.com/WI/Verona/9213-Crosswinds-Lane/property/600029509304,100783627,43.031608,-89.547294,2004.0,9213 Crosswinds Lane #201,"Verona, WI",2021-02-15,309900,4,4
No,,4.0,3.0,3066.0,0.0,599900,"9 Timberwood Court, Madison, WI",53719,https://www.homesnap.com/WI/Madison/9-Timberwood-Court,100784010,43.014331,-89.507795,1999.0,9 Timberwood Court,"Madison, WI",2021-02-15,599900,1,1
No,,,0.0,,0.0,59900,"3041 Handel Street, Black Earth, WI",53515,https://www.homesnap.com/WI/Black-Earth/3041-Handel-Street,100793331,43.122669,-89.744621,,3041 Handel Street,"Black Earth, WI",2021-02-15,59900,8,32
No,,,0.0,,0.0,79900,"4078 Red Hawk Run, Black Earth, WI",53515,https://www.homesnap.com/WI/Black-Earth/4078-Red-Hawk-Run,100793332,43.122355,-89.746135,,4078 Red Hawk Run,"Black Earth, WI",2021-02-15,79900,8,32
No,,,0.0,,0.0,79900,"1901 Eggum Road, Mount Horeb, WI",53572,https://www.homesnap.com/WI/Mount-Horeb/1901-Eggum-Road,100785198,43.001212,-89.71183,,1901 Eggum Road,"Mount Horeb, WI",2021-02-15,79900,8,32
No,,,0.0,,0.0,384900,"L1 Timber Lane, Verona, WI",53593,https://www.homesnap.com/WI/Verona/L1-Timber-Lane,100791557,43.01679,-89.59284,,L1 Timber Lane,"Verona, WI",2021-02-15,384900,8,32
No,,5.0,2.5,2470.0,0.0,559900,"4320 Welcome Home Court, Windsor, WI",53598,https://www.homesnap.com/WI/Windsor/4320-Welcome-Home-Court,100787004,43.210011,-89.329548,2021.0,4320 Welcome Home Court,"Windsor, WI",2021-02-15,559900,1,1
Yes,,3.0,2.5,1763.0,0.0,350000,"6554 Cortland Park Drive, Deforest, WI",53532,https://www.homesnap.com/WI/Deforest/6554-Cortland-Park-Drive/property/17795143,100785007,43.207221,-89.317825,2021.0,6554 Cortland Park Drive,"Deforest, WI",2021-02-15,350000,4,4
No,,,0.0,,0.0,52500,"Lot 35 Ripp Drive, Black Earth, WI",53515,https://www.homesnap.com/WI/Black-Earth/Lot-35-Ripp-Drive,100787570,43.130537,-89.743764,,Lot 35 Ripp Drive,"Black Earth, WI",2021-02-15,52500,8,32
No,,3.0,2.5,1539.0,0.0,327900,"6134 Misty Bridge Road, Madison, WI",53718,https://www.homesnap.com/WI/Madison/6134-Misty-Bridge-Road,100788337,43.097359,-89.27449,2021.0,6134 Misty Bridge Road,"Madison, WI",2021-02-15,327900,1,1
No,,2.0,2.0,1480.0,0.0,380900,"6523 Trails Edge Court, Deforest, WI",53532,https://www.homesnap.com/WI/Deforest/6523-Trails-Edge-Court,100789535,43.218881,-89.354927,2020.0,6523 Trails Edge Court,"Deforest, WI",2021-02-15,380900,4,4
No,,3.0,2.5,1675.0,0.0,415000,"1127 Ballweg Lane, Waunakee, WI",53597,https://www.homesnap.com/WI/Waunakee/1127-Ballweg-Lane,100776487,43.183707,-89.425053,2021.0,1127 Ballweg Lane,"Waunakee, WI",2021-02-14,415000,1,1
Yes,,2.0,2.5,1530.0,0.0,239900,"1905 N Windsor Avenue, Cottage Grove, WI",53527,https://www.homesnap.com/WI/Cottage-Grove/1905-N-Windsor-Avenue,100778023,43.104172,-89.20135,2020.0,1905 N Windsor Avenue,"Cottage Grove, WI",2021-02-14,239900,4,4
No,,3.0,1.0,2152.0,0.0,299900,"220 Reigstad Street, de Forest, WI",53532,https://www.homesnap.com/WI/de-Forest/220-Reigstad-Street,100769013,43.245128,-89.345529,1959.0,220 Reigstad Street,"de Forest, WI",2021-02-13,299900,1,1
No,,3.0,2.0,1857.0,0.0,314000,"4230 Portland Parkway, Madison, WI",53714,https://www.homesnap.com/WI/Madison/4230-Portland-Parkway,100773777,43.097622,-89.310578,1960.0,4230 Portland Parkway,"Madison, WI",2021-02-13,314000,1,1
No,,4.0,3.0,2690.0,0.0,459900,"5502 Mahocker Road, Mazomanie, WI",53560,https://www.homesnap.com/WI/Mazomanie/5502-Mahocker-Road,100773187,43.156764,-89.819218,,5502 Mahocker Road,"Mazomanie, WI",2021-02-13,459900,1,1
No,2.0,6.0,6.0,5575.0,3390.0,549900,"1066 School Street, Sun Prairie, WI",53590,https://www.homesnap.com/WI/Sun-Prairie/1066-School-Street,100765761,43.195447,-89.231107,1999.0,1066 School Street,"Sun Prairie, WI",2021-02-12,549900,1,16
No,,5.0,3.5,4586.0,0.0,674900,"147 Jacob Circle, Oregon, WI",53575,https://www.homesnap.com/WI/Oregon/147-Jacob-Circle,100765615,42.918734,-89.418938,2007.0,147 Jacob Circle,"Oregon, WI",2021-02-12,674900,1,1
Yes,,5.0,3.5,3432.0,0.0,564000,"1717 Dunwoody Lane, Waunakee, WI",53597,https://www.homesnap.com/WI/Waunakee/1717-Dunwoody-Lane,100744118,43.165069,-89.44425,2007.0,1717 Dunwoody Lane,"Waunakee, WI",2021-02-12,564000,1,1
No,,2.0,1.5,1272.0,0.0,259900,"3751 County Road P, Cross Plains, WI",53528,https://www.homesnap.com/WI/Cross-Plains/3751-County-Road-P,100746981,43.060428,-89.656193,,3751 County Road P,"Cross Plains, WI",2021-02-12,259900,1,1
No,,4.0,2.5,3448.0,0.0,630000,"3237 Valley Spring Road, Mount Horeb, WI",53572,https://www.homesnap.com/WI/Mount-Horeb/3237-Valley-Spring-Road,100753672,43.032283,-89.643808,1969.0,3237 Valley Spring Road,"Mount Horeb, WI",2021-02-12,630000,1,1
Yes,,3.0,2.5,1677.0,0.0,335000,"9338 Harvest Moon Lane, Verona, WI",53593,https://www.homesnap.com/WI/Verona/9338-Harvest-Moon-Lane,100749893,43.053919,-89.548934,2013.0,9338 Harvest Moon Lane,"Verona, WI",2021-02-12,335000,1,1
No,3.0,9.0,3.0,3504.0,4680.0,650000,"947 E Johnson Street, Madison, WI",53703,https://www.homesnap.com/WI/Madison/947-E-Johnson-Street,100764570,43.085288,-89.374451,1914.0,947 E Johnson Street,"Madison, WI",2021-02-12,650000,1,16
No,,4.0,1.5,2530.0,0.0,669000,"5487 County Road P, Cross Plains, WI",53528,https://www.homesnap.com/WI/Cross-Plains/5487-County-Road-P,100757185,43.156938,-89.593226,,5487 County Road P,"Cross Plains, WI",2021-02-12,669000,1,1
