contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,3.0,2.0,1969.0,0.0,184900,"472 N Henninger Street, Mayville, WI",53050,https://www.homesnap.com/WI/Mayville/472-N-Henninger-Street,100789436,43.503074,-88.552165,1965.0,472 N Henninger Street,"Mayville, WI",2021-02-15,184900.0,1,1
No,,4.0,3.0,2310.0,0.0,295000,"714 Marsh Trail, Beaver Dam, WI",53916,https://www.homesnap.com/WI/Beaver-Dam/714-Marsh-Trail,100796454,43.441321,-88.832311,2011.0,714 Marsh Trail,"Beaver Dam, WI",2021-02-15,295000.0,1,1
No,,4.0,2.0,1988.0,0.0,154900,"104 S Main Street, Reeseville, WI",53579,https://www.homesnap.com/WI/Reeseville/104-S-Main-Street,100772363,43.30378,-88.846536,1901.0,104 S Main Street,"Reeseville, WI",2021-02-13,154900.0,8,16
No,,3.0,2.0,1827.0,0.0,290000,"1411 Timber Ridge Trail, Watertown, WI",53098,https://www.homesnap.com/WI/Watertown/1411-Timber-Ridge-Trail,100750360,43.205264,-88.697017,2006.0,1411 Timber Ridge Trail,"Watertown, WI",2021-02-12,290000.0,1,1
No,,4.0,2.0,1728.0,0.0,160000,"251 N Depot Street #& 253, Juneau, WI",53039,https://www.homesnap.com/WI/Juneau/251-N-Depot-Street,100745966,43.409286,-88.699026,1974.0,251 N Depot Street #& 253,"Juneau, WI",2021-02-12,160000.0,1,16
No,,4.0,2.0,1914.0,0.0,195900,"112 S University Avenue, Beaver Dam, WI",53916,https://www.homesnap.com/WI/Beaver-Dam/112-S-University-Avenue,100739444,43.455552,-88.82929,1915.0,112 S University Avenue,"Beaver Dam, WI",2021-02-11,195000.0,1,1
Yes,,4.0,3.5,2022.0,0.0,230000,"214 Washington Street, Beaver Dam, WI",53916,https://www.homesnap.com/WI/Beaver-Dam/214-Washington-Street,100730127,43.455462,-88.833105,1896.0,214 Washington Street,"Beaver Dam, WI",2021-02-11,230000.0,1,1
No,2.0,5.0,2.0,1564.0,1175.0,119900,"600 E Cady Street, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/600-E-Cady-Street,100762700,43.196201,-88.718529,1900.0,600 E Cady Street,"Watertown, WI",2021-02-11,119900.0,1,16
No,2.0,3.0,2.0,1024.0,500.0,274900,"W4672 Groth Lane, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/W4672-Groth-Lane,100763131,43.197126,-88.762435,1900.0,W4672 Groth Lane,"Watertown, WI",2021-02-11,274900.0,1,16
No,2.0,,0.0,1452.0,0.0,139999,"163 Stark Street, Randolph, WI",53956,https://www.homesnap.com/WI/Randolph/163-Stark-Street,100747723,43.538189,-89.005477,,163 Stark Street,"Randolph, WI",2021-02-10,139999.0,8,128
