contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,95000,"Lot 4 CSM110 Pine Valley Road, Exeter, WI",53508,https://www.homesnap.com/WI/Exeter/Lot-4-CSM110-Pine-Valley-Road,100570876,42.796243,-89.560428,,Lot 4 CSM110 Pine Valley Road,"Exeter, WI",2021-02-04,95000,8,32
Yes,,3.0,2.0,1400.0,0.0,222900,"W777 Sandtrap Terrace, Decatur, WI",53520,https://www.homesnap.com/WI/Decatur/W777-Sandtrap-Terrace,100524309,42.659742,-89.400856,2020.0,W777 Sandtrap Terrace,"Decatur, WI",2021-02-03,222900,1,1
Yes,,3.0,2.0,1580.0,0.0,229000,"W708 Sandtrap Terrace, Decatur, WI",53520,https://www.homesnap.com/WI/Decatur/W708-Sandtrap-Terrace,100524310,42.659742,-89.400856,2020.0,W708 Sandtrap Terrace,"Decatur, WI",2021-02-03,229000,1,1
Yes,,3.0,2.0,1200.0,0.0,214900,"W684 Sandtrap Terrace, Decatur, WI",53520,https://www.homesnap.com/WI/Decatur/W684-Sandtrap-Terrace,100524786,42.659742,-89.400856,2020.0,W684 Sandtrap Terrace,"Decatur, WI",2021-02-03,214900,1,1
No,,3.0,1.5,3240.0,0.0,325000,"526 1st Street, New Glarus, WI",53574,https://www.homesnap.com/WI/New-Glarus/526-1st-Street,100638372,42.814985,-89.633534,,526 1st Street,"New Glarus, WI",2021-02-02,325000,1,1
No,,,0.0,,0.0,139900,"W3286 County Highway Ks, Juda, WI",53550,https://www.homesnap.com/WI/Juda/W3286-County-Highway-Ks,100365150,42.572204,-89.523844,,W3286 County Highway Ks,"Juda, WI",2021-01-29,139900,8,32
Yes,,,0.0,2298.0,0.0,59900,"807 W 2nd Avenue, Brodhead, WI",53520,https://www.homesnap.com/WI/Brodhead/807-W-2nd-Avenue,99992982,42.621989,-89.378499,1840.0,807 W 2nd Avenue,"Brodhead, WI",2021-01-26,59900,1,1
No,,2.0,1.0,728.0,0.0,26900,"1006 21st Street, Brodhead, WI",53520,https://www.homesnap.com/WI/Brodhead/1006-21st-Street/property/16168150,100272771,42.6068,-89.378671,1985.0,1006 21st Street,"Brodhead, WI",2021-01-26,26900,8,64
Yes,,3.0,2.0,1450.0,0.0,214900,"110 4th Street, Brooklyn, WI",53521,https://www.homesnap.com/WI/Brooklyn/110-4th-Street/property/600029701797,99854919,42.854521,-89.378681,2002.0,110 4th Street,"Brooklyn, WI",2021-01-25,214900,8,8
No,,,0.0,,0.0,175000,"Lot 1 2nd Street, New Glarus, WI",53574,https://www.homesnap.com/WI/New-Glarus/Lot-1-2nd-Street,100053818,42.80657,-89.63699,,Lot 1 2nd Street,"New Glarus, WI",2021-01-25,175000,8,32
