contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,280000,"0 Coon Rock Road #1902238, Arena, WI",53503,https://www.homesnap.com/WI/Arena/0-Coon-Rock-Road/property/18176495,100778815,43.126269,-90.007759,,0 Coon Rock Road #1902238,"Arena, WI",2021-02-14,280000,8,32
Yes,,,0.0,,0.0,33500,"0 South Street #1901938, Ridgeway, WI",53582,https://www.homesnap.com/WI/Ridgeway/0-South-Street/property/18131288,100668959,42.996441,-89.996252,,0 South Street #1901938,"Ridgeway, WI",2021-02-08,33500,8,32
No,,3.0,1.5,1680.0,0.0,225000,"306 N Kenzie Street, Barneveld, WI",53507,https://www.homesnap.com/WI/Barneveld/306-N-Kenzie-Street,100696610,43.016427,-89.898117,,306 N Kenzie Street,"Barneveld, WI",2021-02-06,225000,1,1
No,4.0,,0.0,8933.0,0.0,425000,"142 S Iowa Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/142-S-Iowa-Street,100653198,42.959209,-90.130875,1842.0,142 S Iowa Street,"Dodgeville, WI",2021-02-04,425000,8,128
Yes,,3.0,1.0,1540.0,0.0,122500,"E2511B Richland Road, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/E2511B-Richland-Road,100584015,43.181769,-90.191516,1961.0,E2511B Richland Road,"Lone Rock, WI",2021-02-03,122500,1,1
No,2.0,5.0,2.0,2041.0,700.0,255900,"104 U S 14, Arena, WI",53503,https://www.homesnap.com/WI/Arena/104-U-S-14,100605844,43.161915,-89.903028,,104 U S 14,"Arena, WI",2021-02-03,255900,1,16
No,,,0.0,,0.0,700000,"56+/- Acres U S 14, Arena, WI",53503,https://www.homesnap.com/WI/Arena/56---Acres-U-S-14,100643798,43.161583,-89.912901,,56+/- Acres U S 14,"Arena, WI",2021-02-03,700000,8,32
No,4.0,8.0,6.0,5180.0,3890.0,599000,"101 Pine Ridge Court, Barneveld, WI",53507,https://www.homesnap.com/WI/Barneveld/101-Pine-Ridge-Court,100582428,43.009913,-89.890242,2007.0,101 Pine Ridge Court,"Barneveld, WI",2021-02-02,599000,1,16
No,,4.0,1.5,1346.0,0.0,99000,"309 E Park Street, Montfort, WI",53569,https://www.homesnap.com/WI/Montfort/309-E-Park-Street,100615914,42.971444,-90.429636,1920.0,309 E Park Street,"Montfort, WI",2021-02-02,99000,1,1
No,,3.0,1.0,1094.0,0.0,27900,"420 E Union Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/420-E-Union-Street,100462213,43.184323,-90.193939,,420 E Union Street,"Lone Rock, WI",2021-02-01,27900,1,1
No,,4.0,2.0,1800.0,0.0,199000,"426 Doty Street, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/426-Doty-Street,100524789,42.861274,-90.186017,1910.0,426 Doty Street,"Mineral Point, WI",2021-02-01,199000,1,1
Yes,,3.0,2.0,1564.0,0.0,219000,"527 Fountain Street, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/527-Fountain-Street/property/600031793775,100581975,42.860903,-90.186485,1950.0,527 Fountain Street,"Mineral Point, WI",2021-02-01,219000,1,1
No,,3.0,2.5,2650.0,0.0,169000,"322 High Street, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/322-High-Street,100345742,42.86065,-90.18271,1900.0,322 High Street,"Mineral Point, WI",2021-01-28,169000,1,1
Yes,,2.0,1.0,1008.0,0.0,69900,"820 Hughit Street, Rewey, WI",53580,https://www.homesnap.com/WI/Rewey/820-Hughit-Street,100307249,42.845339,-90.396708,1920.0,820 Hughit Street,"Rewey, WI",2021-01-28,69900,1,1
Yes,,3.0,2.0,1344.0,0.0,22000,"802 Locust Road, Avoca, WI",53506,https://www.homesnap.com/WI/Avoca/802-Locust-Road,100431452,43.189255,-90.322815,2005.0,802 Locust Road,"Avoca, WI",2021-01-28,22000,8,64
Yes,,2.0,1.5,1224.0,0.0,224800,"1208 Wisconsin Street, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/1208-Wisconsin-Street,100279581,42.850154,-90.181515,1950.0,1208 Wisconsin Street,"Mineral Point, WI",2021-01-27,224800,1,1
No,,3.0,1.5,1459.0,0.0,168900,"518 W Division Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/518-W-Division-Street,100283737,42.960314,-90.138872,1948.0,518 W Division Street,"Dodgeville, WI",2021-01-27,168900,1,1
No,1.0,,0.0,,0.0,92500,"225 S Oak Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/225-S-Oak-Street,99850453,43.182801,-90.197678,,225 S Oak Street,"Lone Rock, WI",2021-01-22,92500,8,128
No,,,0.0,,0.0,10000,"0 E Richland Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/0-E-Richland-Street,99985545,43.183199,-90.195246,,0 E Richland Street,"Lone Rock, WI",2021-01-22,10000,8,32
No,,3.0,1.0,1170.0,0.0,119000,"2469 Commerce Street, Edmund, WI",53535,https://www.homesnap.com/WI/Edmund/2469-Commerce-Street,100033836,42.968315,-90.265837,1880.0,2469 Commerce Street,"Edmund, WI",2021-01-22,119000,1,1
No,,,0.0,,0.0,799000,"128 Ac County Road E, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/128-Ac-County-Road-E,99846681,42.881037,-90.312082,,128 Ac County Road E,"Mineral Point, WI",2021-01-22,875000,8,32
Yes,,3.0,3.0,3010.0,0.0,359000,"6465 Coon Rock Road, Arena, WI",53503,https://www.homesnap.com/WI/Arena/6465-Coon-Rock-Road,99596436,43.127003,-90.002996,1983.0,6465 Coon Rock Road,"Arena, WI",2021-01-19,359000,1,1
Yes,,,0.0,,0.0,450000,"91 Ac State Road 80, Cobb, WI",53526,https://www.homesnap.com/WI/Cobb/91-Ac-State-Road-80,99609211,42.96753,-90.329833,,91 Ac State Road 80,"Cobb, WI",2021-01-19,450000,8,32
No,2.0,2.0,2.0,800.0,0.0,99000,"329 W Fountain Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/329-W-Fountain-Street,99568278,42.95873,-90.135974,1900.0,329 W Fountain Street,"Dodgeville, WI",2021-01-18,99000,1,16
Yes,,3.0,1.0,1300.0,0.0,179900,"518 Herman Street, Arena, WI",53503,https://www.homesnap.com/WI/Arena/518-Herman-Street,99631910,43.168372,-89.91219,1850.0,518 Herman Street,"Arena, WI",2021-01-18,179900,1,1
No,1.0,,0.0,,0.0,79500,"105 W Fountain Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/105-W-Fountain-Street,99535495,42.95867,-90.13103,1910.0,105 W Fountain Street,"Dodgeville, WI",2021-01-15,79500,8,128
Yes,,2.0,1.0,1146.0,0.0,145000,"322 Main Street, Arena, WI",53503,https://www.homesnap.com/WI/Arena/322-Main-Street,99424347,43.16573,-89.908744,,322 Main Street,"Arena, WI",2021-01-15,145000,1,1
No,,4.0,2.0,1692.0,0.0,150000,"319 Willow Street, Arena, WI",53503,https://www.homesnap.com/WI/Arena/319-Willow-Street,99415884,43.162219,-89.912893,1904.0,319 Willow Street,"Arena, WI",2021-01-14,150000,1,1
Yes,,3.0,1.0,1283.0,0.0,144800,"301 Moundview Street, Cobb, WI",53526,https://www.homesnap.com/WI/Cobb/301-Moundview-Street,99355783,42.964557,-90.332741,1959.0,301 Moundview Street,"Cobb, WI",2021-01-13,144800,1,1
Yes,,4.0,1.0,1642.0,0.0,264000,"6439 County Road H, Arena, WI",53503,https://www.homesnap.com/WI/Arena/6439-County-Road-H,99347681,43.122441,-89.952425,1914.0,6439 County Road H,"Arena, WI",2021-01-12,264000,1,1
Yes,,3.0,2.0,1736.0,0.0,329900,"425 Samuel Circle, Arena, WI",53503,https://www.homesnap.com/WI/Arena/425-Samuel-Circle,99343837,43.164925,-89.898097,2021.0,425 Samuel Circle,"Arena, WI",2021-01-12,329900,1,1
Yes,,3.0,3.0,2200.0,0.0,249900,"1109 N Johns Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/1109-N-Johns-Street,99281295,42.970397,-90.125895,1996.0,1109 N Johns Street,"Dodgeville, WI",2021-01-11,264000,1,1
No,,,0.0,,0.0,2250000,"000 Powell Street, Dodgeville, WI",53533,https://www.homesnap.com/WI/Dodgeville/000-Powell-Street,99284201,42.968201,-90.140587,,000 Powell Street,"Dodgeville, WI",2021-01-11,2250000,8,32
No,,2.0,1.0,1218.0,0.0,159900,"335 7th Street, Mineral Point, WI",53565,https://www.homesnap.com/WI/Mineral-Point/335-7th-Street,99180669,42.85283,-90.184323,1910.0,335 7th Street,"Mineral Point, WI",2021-01-08,170000,1,1
Yes,,,0.0,,0.0,79000,"645 N Wood Street, Spring Green, WI",53588,https://www.homesnap.com/WI/Spring-Green/645-N-Wood-Street,99257216,43.179837,-90.073904,,645 N Wood Street,"Spring Green, WI",2021-01-07,79000,8,32
Yes,,3.0,1.0,1970.0,0.0,149900,"1227 County Road f, Hollandale, WI",53544,https://www.homesnap.com/WI/Hollandale/1227-County-Road-f,99099460,42.872616,-89.890097,1924.0,1227 County Road f,"Hollandale, WI",2021-01-06,139900,1,1
