contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,1.0,,0.0,,0.0,165000,"120 W North Street, Jefferson, WI",53549,https://www.homesnap.com/WI/Jefferson/120-W-North-Street,100679753,43.008025,-88.808053,1925.0,120 W North Street,"Jefferson, WI",2021-02-09,165000,8,128
No,,4.0,3.0,2300.0,0.0,319900,"622 Green Ridge Circle, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/622-Green-Ridge-Circle,100669430,43.18708,-88.740709,2003.0,622 Green Ridge Circle,"Watertown, WI",2021-02-08,319900,1,1
No,,3.0,2.0,1648.0,0.0,169900,"1604 Commonwealth Drive #4, Fort Atkinson, WI",53538,https://www.homesnap.com/WI/Fort-Atkinson/1604-Commonwealth-Drive/property/600029720161,100663906,42.940097,-88.864429,2005.0,1604 Commonwealth Drive #4,"Fort Atkinson, WI",2021-02-08,169900,4,4
No,,3.0,2.5,1931.0,0.0,275000,"105 Mark Drive, Johnson Creek, WI",53038,https://www.homesnap.com/WI/Johnson-Creek/105-Mark-Drive,100660696,43.076461,-88.751849,2005.0,105 Mark Drive,"Johnson Creek, WI",2021-02-08,275000,1,1
No,,3.0,2.0,1821.0,0.0,120000,"506 N 4th Street, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/506-N-4th-Street,100643834,43.19728,-88.720719,1870.0,506 N 4th Street,"Watertown, WI",2021-02-06,120000,8,16
No,,,0.0,,0.0,650000,"40 +/- Acres Genz Road, Ixonia, WI",53036,https://www.homesnap.com/WI/Ixonia/40---Acres-Genz-Road,100673410,43.167523,-88.558626,,40 +/- Acres Genz Road,"Ixonia, WI",2021-02-06,650000,8,32
Yes,,3.0,3.0,2150.0,0.0,399500,"W6044 Gehler Road, Jefferson, WI",53549,https://www.homesnap.com/WI/Jefferson/W6044-Gehler-Road,100586856,43.050901,-88.83392,1974.0,W6044 Gehler Road,"Jefferson, WI",2021-02-04,399500,1,1
No,,4.0,2.5,2016.0,0.0,360000,"413 Conservancy Drive, Johnson Creek, WI",53038,https://www.homesnap.com/WI/Johnson-Creek/413-Conservancy-Drive,100590240,43.080576,-88.78313,2014.0,413 Conservancy Drive,"Johnson Creek, WI",2021-02-03,360000,1,1
No,1.0,,0.0,1321.0,0.0,194900,"215 S Center Avenue, Jefferson, WI",53549,https://www.homesnap.com/WI/Jefferson/215-S-Center-Avenue,100526518,43.003825,-88.806378,1920.0,215 S Center Avenue,"Jefferson, WI",2021-02-03,194900,8,128
No,,,0.0,,0.0,69900,"W3311 U S 18, Helenville, WI",53137,https://www.homesnap.com/WI/Helenville/W3311-U-S-18,100545614,43.010696,-88.658317,,W3311 U S 18,"Helenville, WI",2021-02-03,69900,8,32
Yes,,3.0,2.0,1904.0,0.0,314900,"1060 Bluegrass Trail, Waterloo, WI",53594,https://www.homesnap.com/WI/Waterloo/1060-Bluegrass-Trail,100516732,43.196003,-88.982785,2021.0,1060 Bluegrass Trail,"Waterloo, WI",2021-02-02,314900,1,1
Yes,,,0.0,,0.0,90000,"L1 County Road K, Fort Atkinson, WI",53538,https://www.homesnap.com/WI/Fort-Atkinson/L1-County-Road-K,100496857,42.896166,-88.827345,,L1 County Road K,"Fort Atkinson, WI",2021-02-02,90000,8,32
No,,4.0,1.5,2190.0,0.0,160000,"W3316 U S 18, Helenville, WI",53137,https://www.homesnap.com/WI/Helenville/W3316-U-S-18,100473728,43.012305,-88.700194,1920.0,W3316 U S 18,"Helenville, WI",2021-02-01,160000,1,1
No,,3.0,2.0,1580.0,0.0,289900,"305 Mckay Way, Waterloo, WI",53594,https://www.homesnap.com/WI/Waterloo/305-Mckay-Way,100459455,43.176308,-88.992382,2021.0,305 Mckay Way,"Waterloo, WI",2021-02-01,289900,1,1
No,,3.0,2.0,1784.0,0.0,299900,"375 Mckay Way, Waterloo, WI",53594,https://www.homesnap.com/WI/Waterloo/375-Mckay-Way,100459120,43.176263,-88.993899,2021.0,375 Mckay Way,"Waterloo, WI",2021-02-01,299900,1,1
No,,4.0,2.0,1827.0,0.0,269900,"226 S Main Street, Lake Mills, WI",53551,https://www.homesnap.com/WI/Lake-Mills/226-S-Main-Street,100619666,43.077867,-88.912488,1900.0,226 S Main Street,"Lake Mills, WI",2021-02-01,269900,1,1
No,,3.0,1.0,1190.0,0.0,164500,"714 Cloute Street, Fort Atkinson, WI",53538,https://www.homesnap.com/WI/Fort-Atkinson/714-Cloute-Street,100449733,42.937416,-88.849979,1962.0,714 Cloute Street,"Fort Atkinson, WI",2021-02-01,164500,1,1
No,1.0,,0.0,2000.0,0.0,250000,"1319 W Main Street, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/1319-W-Main-Street,100453690,43.197389,-88.757556,2002.0,1319 W Main Street,"Watertown, WI",2021-02-01,250000,8,128
Yes,,3.0,2.0,1904.0,0.0,331450,"460 Mckay Way, Waterloo, WI",53594,https://www.homesnap.com/WI/Waterloo/460-Mckay-Way,100453999,43.175681,-88.99518,2021.0,460 Mckay Way,"Waterloo, WI",2021-02-01,331450,1,1
No,2.0,,0.0,1658.0,0.0,175000,"623 Bernard Street, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/623-Bernard-Street,100455950,43.187192,-88.733254,1920.0,623 Bernard Street,"Watertown, WI",2021-02-01,175000,8,128
No,,4.0,2.0,1882.0,0.0,198500,"706 S 9th Street, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/706-S-9th-Street,100425373,43.188491,-88.717066,1915.0,706 S 9th Street,"Watertown, WI",2021-01-31,198500,1,1
Yes,,3.0,2.0,1902.0,0.0,316000,"360 Mckay Way, Waterloo, WI",53594,https://www.homesnap.com/WI/Waterloo/360-Mckay-Way,100453305,43.175731,-88.993461,2021.0,360 Mckay Way,"Waterloo, WI",2021-01-30,316000,1,1
No,,,0.0,,0.0,129900,"760 Cherokee Path # 774, Lake Mills, WI",53551,https://www.homesnap.com/WI/Lake-Mills/760-Cherokee-Path,100368531,43.089046,-88.904625,,760 Cherokee Path # 774,"Lake Mills, WI",2021-01-29,129900,8,32
No,,3.0,1.0,1000.0,0.0,174500,"325 Armenia Street, Fort Atkinson, WI",53538,https://www.homesnap.com/WI/Fort-Atkinson/325-Armenia-Street,100337520,42.932271,-88.829277,1955.0,325 Armenia Street,"Fort Atkinson, WI",2021-01-29,174500,1,1
No,,,0.0,,0.0,129900,"760-774 Cherokee Path, Lake Mills, WI",53551,https://www.homesnap.com/WI/Lake-Mills/760-774-Cherokee-Path,100351135,43.089046,-88.904625,,760-774 Cherokee Path,"Lake Mills, WI",2021-01-29,129900,8,32
No,,3.0,1.0,1360.0,0.0,1294000,"N3021 Schmidt Road, Jefferson, WI",53549,https://www.homesnap.com/WI/Jefferson/N3021-Schmidt-Road,100363690,42.955135,-88.741487,1965.0,N3021 Schmidt Road,"Jefferson, WI",2021-01-29,1294000,1,1
Yes,,3.0,2.0,1720.0,0.0,249900,"202 W Prospect Street, Lake Mills, WI",53551,https://www.homesnap.com/WI/Lake-Mills/202-W-Prospect-Street,100315055,43.08609,-88.91152,1956.0,202 W Prospect Street,"Lake Mills, WI",2021-01-28,249900,1,1
No,,,0.0,,0.0,99900,"L3 Deer Lake Lane, Marshall, WI",53559,https://www.homesnap.com/WI/Marshall/L3-Deer-Lake-Lane,100304235,43.109685,-89.012754,,L3 Deer Lake Lane,"Marshall, WI",2021-01-28,99900,8,32
No,,,0.0,,0.0,64900,"Lt7 River Road, Watertown, WI",53094,https://www.homesnap.com/WI/Watertown/Lt7-River-Road,100351137,43.169597,-88.751965,,Lt7 River Road,"Watertown, WI",2021-01-28,64900,8,32
No,2.0,2.0,2.0,1586.0,950.0,134000,"510 Madison Avenue, Sullivan, WI",53178,https://www.homesnap.com/WI/Sullivan/510-Madison-Avenue,100300752,43.0133,-88.589806,1917.0,510 Madison Avenue,"Sullivan, WI",2021-01-26,134000,1,16
No,,,0.0,,0.0,624900,"201 S Main Street, Fort Atkinson, WI",53538,https://www.homesnap.com/WI/Fort-Atkinson/201-S-Main-Street,100212773,42.926703,-88.836709,1884.0,201 S Main Street,"Fort Atkinson, WI",2021-01-26,624900,8,128
Yes,,4.0,2.5,1943.0,0.0,329900,"200 Crestview Lane, Lake Mills, WI",53551,https://www.homesnap.com/WI/Lake-Mills/200-Crestview-Lane,99843740,43.074784,-88.87998,2018.0,200 Crestview Lane,"Lake Mills, WI",2021-01-24,329900,1,1
No,,3.0,2.0,1469.0,0.0,169900,"515 S Whitewater Avenue, Jefferson, WI",53549,https://www.homesnap.com/WI/Jefferson/515-S-Whitewater-Avenue,99696352,43.000896,-88.805148,1901.0,515 S Whitewater Avenue,"Jefferson, WI",2021-01-21,169900,1,1
