contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,5.0,1.0,2304.0,0.0,259000,"6313 River Bend Road, South Wayne, WI",53587,https://www.homesnap.com/WI/South-Wayne/6313-River-Bend-Road,100766395,42.591544,-89.941315,,6313 River Bend Road,"South Wayne, WI",2021-02-12,259000,1,1
No,,2.0,1.0,896.0,0.0,30000,"30972 County Road Xx, Platteville, WI",53818,https://www.homesnap.com/WI/Platteville/30972-County-Road-Xx,100744313,42.734941,-90.425582,2005.0,30972 County Road Xx,"Platteville, WI",2021-02-10,30000,8,64
No,,,0.0,,0.0,39500,"12478 Tama Run Lane, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/12478-Tama-Run-Lane,100706295,42.67665,-90.130258,,12478 Tama Run Lane,"Darlington, WI",2021-02-09,39500,8,32
No,,3.0,2.5,1900.0,0.0,408000,"12 Tama Run Subdivison, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/12-Tama-Run-Subdivison,100623284,42.6881,-90.1062,2020.0,12 Tama Run Subdivison,"Darlington, WI",2021-02-05,408000,1,1
Yes,,,0.0,,0.0,699900,"126 Acres County Road D, South Wayne, WI",53587,https://www.homesnap.com/WI/South-Wayne/126-Acres-County-Road-D,100509360,42.566671,-89.882569,,126 Acres County Road D,"South Wayne, WI",2021-02-02,699900,8,32
No,,4.0,2.0,1615.0,0.0,165000,"109 E Hill Street, Blanchardville, WI",53516,https://www.homesnap.com/WI/Blanchardville/109-E-Hill-Street,100417969,42.81284,-89.8595,1920.0,109 E Hill Street,"Blanchardville, WI",2021-01-30,165000,1,1
No,,4.0,2.0,1468.0,0.0,114495,"237 E High Street, Shullsburg, WI",53586,https://www.homesnap.com/WI/Shullsburg/237-E-High-Street,99853697,42.572711,-90.227628,1880.0,237 E High Street,"Shullsburg, WI",2021-01-25,114495,1,1
No,1.0,,0.0,2400.0,0.0,89000,"10410 Bridge Street, Gratiot, WI",53541,https://www.homesnap.com/WI/Gratiot/10410-Bridge-Street,100351144,42.58049,-90.02377,,10410 Bridge Street,"Gratiot, WI",2021-01-25,89000,8,128
Yes,,3.0,1.0,1040.0,0.0,86900,"18 Riverside Drive, Benton, WI",53803,https://www.homesnap.com/WI/Benton/18-Riverside-Drive,99542879,42.566532,-90.375981,1982.0,18 Riverside Drive,"Benton, WI",2021-01-17,92900,1,1
Yes,,3.0,2.5,1400.0,0.0,230000,"29978 County Road B, Platteville, WI",53818,https://www.homesnap.com/WI/Platteville/29978-County-Road-B,99340613,42.762277,-90.406767,1970.0,29978 County Road B,"Platteville, WI",2021-01-13,230000,1,1
No,2.0,,0.0,,0.0,195000,"336 E Milwaukee Street, Argyle, WI",53504,https://www.homesnap.com/WI/Argyle/336-E-Milwaukee-Street,99336506,42.701059,-89.866095,1930.0,336 E Milwaukee Street,"Argyle, WI",2021-01-11,195000,8,128
Yes,,3.0,1.0,1020.0,0.0,85000,"618 Division Street, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/618-Division-Street,99179634,42.682242,-90.11293,1948.0,618 Division Street,"Darlington, WI",2021-01-07,85000,1,1
No,1.0,,0.0,1600.0,0.0,79000,"103 Water Street, Blanchardville, WI",53516,https://www.homesnap.com/WI/Blanchardville/103-Water-Street,99066567,42.811285,-89.860765,,103 Water Street,"Blanchardville, WI",2021-01-05,79000,8,128
No,,,0.0,,0.0,228000,"38 Ac Riverside Road, Gratiot, WI",53541,https://www.homesnap.com/WI/Gratiot/38-Ac-Riverside-Road,99092354,42.584105,-90.024608,,38 Ac Riverside Road,"Gratiot, WI",2021-01-05,228000,8,32
Yes,,3.0,1.0,1226.0,0.0,124900,"403 North Street, Argyle, WI",53504,https://www.homesnap.com/WI/Argyle/403-North-Street,98716036,42.704369,-89.865651,1915.0,403 North Street,"Argyle, WI",2020-12-22,124900,1,1
Yes,,3.0,1.5,1665.0,0.0,139900,"258 S Kennedy Street, Shullsburg, WI",53586,https://www.homesnap.com/WI/Shullsburg/258-S-Kennedy-Street,98380776,42.571607,-90.236649,1962.0,258 S Kennedy Street,"Shullsburg, WI",2020-12-11,139900,1,1
No,,4.0,2.0,1432.0,0.0,485000,"29328 Crabtree Corner Road, Benton, WI",53807,https://www.homesnap.com/WI/Benton/29328-Crabtree-Corner-Road,98264105,42.609237,-90.391771,,29328 Crabtree Corner Road,"Benton, WI",2020-12-04,485000,8,32
No,1.0,,0.0,3700.0,0.0,240000,"128 Main Street, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/128-Main-Street,97757960,42.678088,-90.118374,1979.0,128 Main Street,"Darlington, WI",2020-11-16,250000,8,128
Yes,,2.0,1.0,1048.0,0.0,85000,"5525 Sheldon Street, Gratiot, WI",53541,https://www.homesnap.com/WI/Gratiot/5525-Sheldon-Street,97697475,42.574795,-90.023849,1945.0,5525 Sheldon Street,"Gratiot, WI",2020-11-12,85000,1,1
No,3.0,7.0,4.0,1400.0,1000.0,89900,"331 Ohio Street, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/331-Ohio-Street,96792786,42.679716,-90.113711,,331 Ohio Street,"Darlington, WI",2020-10-27,99900,1,16
No,,5.0,4.0,4126.0,0.0,680000,"9440 Pecatonica Road, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/9440-Pecatonica-Road/property/6529780,96731473,42.629973,-90.03194,,9440 Pecatonica Road,"Darlington, WI",2020-10-26,680000,1,1
No,,5.0,4.0,4126.0,0.0,1400000,"9328 Pecatonica Road, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/9328-Pecatonica-Road,96731472,42.625778,-90.033087,,9328 Pecatonica Road,"Darlington, WI",2020-10-26,1400000,1,1
No,,1.0,1.5,1736.0,0.0,35000,"510 Galena Street, Darlington, WI",53530,https://www.homesnap.com/WI/Darlington/510-Galena-Street,96472409,42.674105,-90.121106,1900.0,510 Galena Street,"Darlington, WI",2020-10-12,54900,1,1
Yes,,3.0,2.0,1854.0,0.0,1557500,"12491 W Riverside Road, Gratiot, WI",53541,https://www.homesnap.com/WI/Gratiot/12491-W-Riverside-Road,95674324,42.599181,-90.058092,,12491 W Riverside Road,"Gratiot, WI",2020-10-02,1557500,8,32
