contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,2.0,1.5,1340.0,0.0,179000,"113 Arbor Hill Drive, Janesville, WI",53548,https://www.homesnap.com/WI/Janesville/113-Arbor-Hill-Drive,100783547,42.680862,-89.060048,1978.0,113 Arbor Hill Drive,"Janesville, WI",2021-02-15,179000,1,1
No,,5.0,2.0,2671.0,0.0,165000,"308 Cleveland Street, Beloit, WI",53511,https://www.homesnap.com/WI/Beloit/308-Cleveland-Street,100795906,42.498341,-89.059363,1950.0,308 Cleveland Street,"Beloit, WI",2021-02-15,165000,1,1
No,,3.0,2.0,2112.0,0.0,329900,"3840 Amhurst Road, Janesville, WI",53546,https://www.homesnap.com/WI/Janesville/3840-Amhurst-Road,100785943,42.727058,-88.98073,1973.0,3840 Amhurst Road,"Janesville, WI",2021-02-15,329900,1,1
No,,3.0,2.5,2660.0,0.0,239900,"5156 Henry Circle, Milton, WI",53563,https://www.homesnap.com/WI/Milton/5156-Henry-Circle,100786764,42.745595,-88.972825,2006.0,5156 Henry Circle,"Milton, WI",2021-02-15,239900,1,1
No,,2.0,3.0,1614.0,0.0,179900,"116 Glenview Court, Janesville, WI",53548,https://www.homesnap.com/WI/Janesville/116-Glenview-Court,100793568,42.699625,-89.056314,1982.0,116 Glenview Court,"Janesville, WI",2021-02-14,179900,4,4
No,,4.0,2.5,1840.0,0.0,189900,"107 Lord Street, Edgerton, WI",53534,https://www.homesnap.com/WI/Edgerton/107-Lord-Street,100747722,42.828892,-89.072558,1880.0,107 Lord Street,"Edgerton, WI",2021-02-12,189900,1,1
Yes,,3.0,1.5,1092.0,0.0,159900,"2000 Crest Road, Beloit, WI",53511,https://www.homesnap.com/WI/Beloit/2000-Crest-Road,100751082,42.527689,-89.013219,1966.0,2000 Crest Road,"Beloit, WI",2021-02-12,159900,1,1
No,,3.0,2.5,3656.0,0.0,499500,"12002 S Turtle Town Hall Road, Beloit, WI",53511,https://www.homesnap.com/WI/Beloit/12002-S-Turtle-Town-Hall-Road,100749526,42.505054,-88.957649,2006.0,12002 S Turtle Town Hall Road,"Beloit, WI",2021-02-12,499500,1,1
Yes,,3.0,1.0,1652.0,0.0,119900,"215 Depot Street, Footville, WI",53537,https://www.homesnap.com/WI/Footville/215-Depot-Street,100754077,42.6701,-89.210508,1890.0,215 Depot Street,"Footville, WI",2021-02-12,119900,1,1
No,,3.0,2.0,1246.0,0.0,289900,"340 Seventh Street, Evansville, WI",53536,https://www.homesnap.com/WI/Evansville/340-Seventh-Street,100754799,42.775521,-89.322518,2021.0,340 Seventh Street,"Evansville, WI",2021-02-12,289900,1,1
No,,4.0,3.5,1977.0,0.0,319900,"320 Seventh Street, Evansville, WI",53536,https://www.homesnap.com/WI/Evansville/320-Seventh-Street,100755191,42.776002,-89.32259,2021.0,320 Seventh Street,"Evansville, WI",2021-02-12,319900,1,1
No,,3.0,2.0,1251.0,0.0,294900,"352 Seventh Street, Evansville, WI",53536,https://www.homesnap.com/WI/Evansville/352-Seventh-Street,100755195,42.775284,-89.322486,2021.0,352 Seventh Street,"Evansville, WI",2021-02-12,294900,1,1
No,,3.0,2.0,1246.0,0.0,293900,"364 Seventh Street, Evansville, WI",53536,https://www.homesnap.com/WI/Evansville/364-Seventh-Street,100755617,42.775047,-89.322454,2021.0,364 Seventh Street,"Evansville, WI",2021-02-12,293900,1,1
No,,3.0,2.0,1251.0,0.0,294900,"376 Seventh Street, Evansville, WI",53536,https://www.homesnap.com/WI/Evansville/376-Seventh-Street,100755625,42.77481,-89.322422,2021.0,376 Seventh Street,"Evansville, WI",2021-02-12,294900,1,1
No,,3.0,1.0,966.0,0.0,99900,"1512 Wisconsin Avenue, Beloit, WI",53511,https://www.homesnap.com/WI/Beloit/1512-Wisconsin-Avenue,100737091,42.516786,-89.024443,1920.0,1512 Wisconsin Avenue,"Beloit, WI",2021-02-11,99900,1,1
Yes,,3.0,1.5,1092.0,0.0,129900,"1805 Liberty Avenue, Beloit, WI",53511,https://www.homesnap.com/WI/Beloit/1805-Liberty-Avenue,100738493,42.510974,-89.060505,1938.0,1805 Liberty Avenue,"Beloit, WI",2021-02-11,129900,1,1
Yes,,2.0,1.0,1176.0,0.0,140000,"2004 W Burbank Avenue, Janesville, WI",53546,https://www.homesnap.com/WI/Janesville/2004-W-Burbank-Avenue,100721536,42.64675,-89.043689,1978.0,2004 W Burbank Avenue,"Janesville, WI",2021-02-11,140000,1,1
Yes,,3.0,1.0,1000.0,0.0,169900,"210 S Richards Street, Orfordville, WI",53576,https://www.homesnap.com/WI/Orfordville/210-S-Richards-Street,100733216,42.624963,-89.257523,1986.0,210 S Richards Street,"Orfordville, WI",2021-02-11,169900,1,1
No,,3.0,1.0,1130.0,0.0,179900,"2549 Plymouth Avenue, Janesville, WI",53545,https://www.homesnap.com/WI/Janesville/2549-Plymouth-Avenue,100725795,42.692987,-88.988657,1949.0,2549 Plymouth Avenue,"Janesville, WI",2021-02-11,179900,1,1
No,,,0.0,,0.0,89900,"L37 Northridge Court, Union, WI",53536,https://www.homesnap.com/WI/Union/L37-Northridge-Court,100736127,42.788961,-89.27576,,L37 Northridge Court,"Union, WI",2021-02-11,89900,8,32
No,,,0.0,,0.0,80000,"LOT 17 N Stone Farm Road, Fulton, WI",53534,https://www.homesnap.com/WI/Fulton/LOT-17-N-Stone-Farm-Road,100749908,42.794355,-89.114533,,LOT 17 N Stone Farm Road,"Fulton, WI",2021-02-11,80000,8,32
No,,,0.0,,0.0,90000,"L12 N Stone Farm Road, Fulton, WI",53534,https://www.homesnap.com/WI/Fulton/L12-N-Stone-Farm-Road,100751100,42.794355,-89.114533,,L12 N Stone Farm Road,"Fulton, WI",2021-02-11,90000,8,32
