contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,185000,"Lot 443 Summit Point Drive, Woodland, WI",53941,https://www.homesnap.com/WI/Woodland/Lot-443-Summit-Point-Drive,100688115,43.592526,-90.197521,,Lot 443 Summit Point Drive,"Woodland, WI",2021-02-09,185000,8,32
No,,,0.0,,0.0,49900,"S873 Christmas Mountain Drive, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/S873-Christmas-Mountain-Drive,100660215,43.613576,-89.861573,,S873 Christmas Mountain Drive,"Wisconsin Dells, WI",2021-02-08,49900,8,32
No,4.0,8.0,4.0,3600.0,3020.0,369900,"603/605/615/617 Granite Avenue, Reedsburg, WI",53959,https://www.homesnap.com/WI/Reedsburg/603-605-615-617-Granite-Avenue,100685457,43.5348,-89.9873,1982.0,603/605/615/617 Granite Avenue,"Reedsburg, WI",2021-02-08,369900,1,16
No,,4.0,4.0,4349.0,0.0,615000,"1003 Hillside Court, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1003-Hillside-Court,100649275,43.63138,-89.752343,1990.0,1003 Hillside Court,"Wisconsin Dells, WI",2021-02-07,615000,1,1
No,,3.0,2.0,1326.0,0.0,229000,"1211 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/1211-10th-Street,100610893,43.476852,-89.720211,1983.0,1211 10th Street,"Baraboo, WI",2021-02-05,229000,1,1
No,,3.0,3.5,2424.0,0.0,349900,"W14529 Obrien Road, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/W14529-Obrien-Road,100639312,43.305608,-89.722081,1964.0,W14529 Obrien Road,"Prairie Du Sac, WI",2021-02-05,349900,1,1
No,,2.0,1.0,1056.0,0.0,64900,"N550 Gannon Road #H13, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/N550-Gannon-Road/property/18117455,100647021,43.294975,-89.633128,2007.0,N550 Gannon Road #H13,"Lodi, WI",2021-02-05,64900,8,64
No,,,0.0,,0.0,99900,"0 Hogsback Road, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/0-Hogsback-Road,100618909,43.5073,-89.81821,,0 Hogsback Road,"Baraboo, WI",2021-02-04,99900,8,32
No,,1.0,1.0,800.0,0.0,78500,"1093 Canyon Road #403, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1093-Canyon-Road/property/6556097,100640871,43.598442,-89.773104,,1093 Canyon Road #403,"Wisconsin Dells, WI",2021-02-03,78500,4,4
No,,,0.0,,0.0,45000,"29797 Needle Lane, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/29797-Needle-Lane,100617968,43.210422,-90.276273,,29797 Needle Lane,"Lone Rock, WI",2021-02-03,45000,8,32
No,,,0.0,,0.0,39900,"290 Oakbrook Drive, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/290-Oakbrook-Drive,100539510,43.607949,-89.817453,,290 Oakbrook Drive,"Wisconsin Dells, WI",2021-02-03,39900,8,32
No,2.0,5.0,2.0,2041.0,700.0,255900,"104 U S 14, Arena, WI",53503,https://www.homesnap.com/WI/Arena/104-U-S-14,100605844,43.161915,-89.903028,,104 U S 14,"Arena, WI",2021-02-03,255900,1,16
No,,,0.0,,0.0,700000,"56+/- Acres U S 14, Arena, WI",53503,https://www.homesnap.com/WI/Arena/56---Acres-U-S-14,100643798,43.161583,-89.912901,,56+/- Acres U S 14,"Arena, WI",2021-02-03,700000,8,32
No,,5.0,1.5,1904.0,0.0,141100,"S9083 Wisconsin 130, Hill Point, WI",53937,https://www.homesnap.com/WI/Hill-Point/S9083-Wisconsin-130,100564308,43.409135,-90.152679,1910.0,S9083 Wisconsin 130,"Hill Point, WI",2021-02-02,141100,8,32
No,,3.0,1.0,1325.0,0.0,174500,"110 Polk Street, Sauk City, WI",53583,https://www.homesnap.com/WI/Sauk-City/110-Polk-Street,100491659,43.274222,-89.721477,,110 Polk Street,"Sauk City, WI",2021-02-01,174500,1,1
No,,2.0,1.0,945.0,0.0,189900,"209 John Quincy Adams Street, Sauk City, WI",53583,https://www.homesnap.com/WI/Sauk-City/209-John-Quincy-Adams-Street,100495810,43.267983,-89.726836,,209 John Quincy Adams Street,"Sauk City, WI",2021-02-01,189900,1,1
No,,3.0,1.0,1094.0,0.0,27900,"420 E Union Street, Lone Rock, WI",53556,https://www.homesnap.com/WI/Lone-Rock/420-E-Union-Street,100462213,43.184323,-90.193939,,420 E Union Street,"Lone Rock, WI",2021-02-01,27900,1,1
No,,2.0,1.0,1150.0,0.0,174500,"203 Paulina Street, Sauk City, WI",53583,https://www.homesnap.com/WI/Sauk-City/203-Paulina-Street,100494779,43.269003,-89.72489,,203 Paulina Street,"Sauk City, WI",2021-02-01,174500,1,1
Yes,,2.0,2.0,1872.0,0.0,239900,"E4493 Robin Court, La Valle, WI",53941,https://www.homesnap.com/WI/La-Valle/E4493-Robin-Court,100491308,43.625052,-90.092824,2002.0,E4493 Robin Court,"La Valle, WI",2021-02-01,239900,1,1
No,,,0.0,,0.0,394900,"L24-27 Robin Court, La Valle, WI",53941,https://www.homesnap.com/WI/La-Valle/L24-27-Robin-Court,100529985,43.62533,-90.093339,,L24-27 Robin Court,"La Valle, WI",2021-02-01,374900,8,32
Yes,,5.0,3.0,3226.0,0.0,469000,"1106 20th Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/1106-20th-Street,100490566,43.301106,-89.744419,2017.0,1106 20th Street,"Prairie Du Sac, WI",2021-02-01,469000,1,1
No,,3.0,2.0,2040.0,0.0,268500,"135 Northwoods Circle, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/135-Northwoods-Circle,100456896,43.602644,-89.813255,2000.0,135 Northwoods Circle,"Wisconsin Dells, WI",2021-01-31,268500,8,64
No,2.0,3.0,2.5,1625.0,750.0,209900,"706 Mound Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/706-Mound-Street,100428534,43.467765,-89.732326,1920.0,706 Mound Street,"Baraboo, WI",2021-01-30,214900,1,16
No,,,0.0,,0.0,39900,"L9 Devil's Doorway Road, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/L9-Devils-Doorway-Road,100458257,43.393081,-89.640154,,L9 Devil's Doorway Road,"Merrimac, WI",2021-01-30,39900,8,32
