address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"1025 E Gorham Street, Madison, WI",53703,2,359900,3350,4534.166667,2518.965342,6,1878,1889,2,22373,16596,7389,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,8.952736318,11.90634352,6.614592906
"746 S Bird Street, Sun Prairie, WI",53590,2,259900,2290,2586.319444,3094.702214,5,3000,1970,3,16156,13096,3286,1.1,-0.8,-2.5,2.9,69.8,4.6,8.1,7.4,33.8,9.457787482,6.998519352,8.374191123
"2-4 Nantucket Court, Madison, WI",53719,2,309900,2690,2874.166667,2765.149761,6,2690,1985,2,19265,14847,3777,-1.7,-1.6,-8.6,6.7,77.6,6,22.9,3.9,34.8,9.600371747,9.33945798,8.985213105
"6751 Depot Street, Windsor, WI",53598,3,274900,2275,2296.666667,2694.440857,4,2565,1901,3,17089,13622,1813,0.4,0.9,1.1,4.3,86.5,5.4,5.1,3.7,40.3,10.06959707,8.502073175,9.974600871
"2652 Milwaukee Street, Madison, WI",53704,2,245000,2005,2542.333333,2746.863207,3,1678,1928,2,15230,12575,1150,-6.9,-2.9,-6.8,6.8,65.5,10.6,13.6,2.9,36.8,10.18287614,7.432720573,8.030680477
"1014 E Johnson Street, Madison, WI",53703,2,400000,3250,4534.166667,3634.928688,6,2710,1906,4,24866,18000,2734,-0.3,8.8,11.5,4.5,37.7,17.5,17.9,3.3,29,10.25641026,9.170285359,7.351589781
"41 Hart Road, Sun Prairie, WI",53590,4,555000,4500,6402.166667,4830.696305,12,4752,1981,6,34501,23425,4379,5.3,15.5,17.9,7.4,81.4,6,18.7,5.7,32.7,10.27777778,9.574189119,7.224116835
"930 Emerald Street, Madison, WI",53715,3,765000,5975,6181.083333,6202.323939,11,5109,1921,5,47555,30775,3985,-0.4,8.2,12.3,7.9,39.6,43.4,35.6,2.2,23.8,10.66945607,10.27840542,10.31372602
"6 Corona Court, Madison, WI",53719,2,395000,3080,3459.5,2869.775889,6,2900,1993,4,24555,17825,1125,3.6,4.5,8.9,1.3,77.3,7.9,5.8,4.9,32,10.68722944,11.47011751,9.514862456
"6664 Fairway Circle, Windsor, WI",53598,2,334900,2600,2870.833333,3179.755351,5,3027,1980,4,20819,15722,543,0.4,0.9,1.1,4.3,86.5,5.4,5.1,3.7,40.3,10.73397436,8.776880689,9.721335269
