address,zip,sqft,baths,beds,lat,long,rent
"5707 Tonyawatha Trl, Monona, WI 53716",53716,2024.0,2.0,3.0,43.057713,-89.350852,3500.0
"7008 Fortune Dr, Middleton, WI 53562",53562,1400.0,1.5,3.0,43.088263,-89.502615,1750.0
"1925 Schlimgen Ave, Madison, WI 53704",53704,763.0,1.0,2.0,43.118469,-89.358515,1395.0
"1910 University Ave APT A, Madison, WI 53726",53726,1400.0,2.0,4.0,43.07343,-89.418283,2100.0
"926 Spaight St APT 3, Madison, WI 53703",53703,1420.0,1.0,3.0,43.078968,-89.367382,1710.0
"818 Oneida Pl, Madison, WI 53711",53711,2709.0,2.5,4.0,43.047787,-89.441974,3500.0
"2 Craig Ave #S9ZGJ4FBJ, Madison, WI 53705",53705,775.0,1.0,2.0,43.079342,-89.473173,1173.0
"4410 Jay Dr, Madison, WI 53704",53704,1390.0,1.5,3.0,43.142631,-89.379909,1690.0
"1300 Main St APT 102, Cross Plains, WI 53528",53528,1054.0,1.0,2.0,43.114107,-89.657398,1410.0
"2726 Lyman Ln, Fitchburg, WI 53711",53711,1200.0,1.5,2.0,43.002788,-89.428479,1500.0
"417 W Dayton St #V02NXSZW3, Madison, WI 53703",53703,1195.0,2.0,2.0,43.07226,-89.39118,1975.0
"2334 Talc Trl #2342-101, Madison, WI 53719",53719,1206.0,2.0,2.0,43.02573,-89.532675,1395.0
"720 E Gorham St #202, Madison, WI 53703",53703,1290.0,1.5,1.0,43.083184,-89.380346,2070.0
"19 N 3rd St, Madison, WI 53704",53704,1575.0,1.5,3.0,43.095621,-89.356515,1750.0
"8206 Starr Grass Dr, Madison, WI 53719",53719,950.0,1.0,1.0,43.035359,-89.527736,980.0
"5109 Wallace Ave, Monona, WI 53716",53716,700.0,1.0,1.0,43.064481,-89.328597,895.0
"1259 E Johnson St APT 1, Madison, WI 53703",53703,1200.0,1.0,2.0,43.089232,-89.368969,1625.0
"5002 Sheboygan Ave APT 100, Madison, WI 53705",53705,950.0,1.0,1.0,43.073373,-89.465369,895.0
"6701 Mader Dr APT 102, Madison, WI 53719",53719,1171.0,2.0,2.0,43.013837,-89.499733,1565.0
"1520 Madison St APT 2, Madison, WI 53711",53711,1500.0,1.0,2.0,43.067189,-89.412455,1100.0
"1520 Madison St #1, Madison, WI 53711",53711,1500.0,2.0,3.0,43.06719,-89.412456,1650.0
"535 Donofrio Dr, Madison, WI 53719",53719,496.0,1.0,0.0,43.056559,-89.514496,745.0
"1617 Jackson St, Stoughton, WI 53589",53589,1000.0,1.0,3.0,42.920525,-89.239889,1495.0
"4735 Catalina Pkwy, Mc Farland, WI 53558",53558,2028.0,3.0,3.0,43.028861,-89.269503,2275.0
"5414 Mineral Point Rd #116, Madison, WI 53705",53705,711.0,1.0,1.0,43.061319,-89.473494,1125.0
"142 Paoli St #310, Verona, WI 53593",53593,769.0,1.0,1.0,42.985485,-89.53766,1075.0
"917 S Whitney Way #FWJNVK377, Madison, WI 53711",53711,850.0,1.0,1.0,43.044811,-89.472527,945.0
"2025 Frisch Rd, Madison, WI 53711",53711,850.0,1.0,2.0,43.030248,-89.492287,1000.0
"4905 S Hill Dr, Madison, WI 53705",53705,1187.0,1.0,3.0,43.063028,-89.461425,1850.0
"5202 Schofield St #5200, Madison, WI 53716",53716,1750.0,1.5,2.0,43.063101,-89.329342,1435.0
"5 Sonora Ct, Madison, WI 53719",53719,1761.0,2.5,3.0,43.018134,-89.51265,1600.0
"7414 Whitacre Rd UNIT 2B, Madison, WI 53717",53717,1034.0,1.5,2.0,43.07313,-89.511856,1300.0
