address,zip,sqft,baths,beds,lat,long,rent
"211 S University Ave, Beaver Dam, WI 53916",53916,1200.0,1.0,2.0,43.454654,-88.82836,795.0
"1199 N 4th St APT 13, Watertown, WI 53098",53098,950.0,1.0,2.0,43.206517,-88.707106,715.0
"W9248 Meadow Rd, Beaver Dam, WI 53916",53916,2500.0,3.0,4.0,43.373638,-88.860633,2850.0
"820 S Lincoln Ave APT 101, Beaver Dam, WI 53916",53916,840.0,1.0,2.0,43.446855,-88.834761,755.0
"804 S Lincoln Ave APT 205, Beaver Dam, WI 53916",53916,621.0,1.0,1.0,43.44753,-88.834294,645.0
"605 Cole St, Watertown, WI 53094",53094,1000.0,1.0,3.0,43.19645,-88.718248,875.0
"305 Jefferson St #204, Beaver Dam, WI 53916",53916,780.0,1.0,2.0,43.445457,-88.832105,725.0
"220 Linden Ct #B, Lomira, WI 53048",53048,1600.0,2.0,3.0,43.581338,-88.438419,1100.0
"375 Main St #3, Lomira, WI 53048",53048,1000.0,1.0,2.0,43.591494,-88.435677,775.0
"104 Lakecrest Dr, Beaver Dam, WI 53916",53916,750.0,1.0,2.0,43.444618,-88.855292,695.0
"W9772 Mallard Ct #1, Beaver Dam, WI 53916",53916,1800.0,2.0,4.0,43.50807,-88.889024,1600.0
"1201-1203 Doris St #1201, Watertown, WI 53098",53098,986.0,1.0,2.0,43.201196,-88.751509,825.0
"405 Stark St, Beaver Dam, WI 53916",53916,800.0,1.0,2.0,43.446814,-88.829301,720.0
