address,zip,sqft,baths,beds,lat,long,rent
"311-315 South St #7, Johnson Creek, WI 53038",53038,1050.0,1.0,2.0,43.072676,-88.771594,895.0
"W3266 E Gate Dr #190677454, Watertown, WI 53094",53094,935.0,1.0,3.0,43.182748,-88.692283,1250.0
"326 Foster St APT 205, Fort Atkinson, WI 53538",53538,460.0,1.0,1.0,42.924808,-88.834807,600.0
"307 South St APT 4, Johnson Creek, WI 53038",53038,1000.0,1.0,2.0,43.072684,-88.770382,895.0
"605 Cole St, Watertown, WI 53094",53094,1000.0,1.0,3.0,43.19645,-88.718248,875.0
"408 Madison Ave APT 2, Fort Atkinson, WI 53538",53538,350.0,1.0,0.0,42.93316,-88.842498,550.0
"647 N Walton Dr, Whitewater, WI 53190",53190,2100.0,5.0,5.0,42.847487,-88.752335,425.0
"600-602 Bernard St APT 602-8, Watertown, WI 53094",53094,800.0,1.0,2.0,43.187192,-88.732431,725.0
"923 Reed St, Lake Mills, WI 53551",53551,2032.0,2.5,3.0,43.083953,-88.899246,1400.0
"410 E Water St, Watertown, WI 53094",53094,1698.0,1.5,3.0,43.184647,-88.700665,950.0
